,depth_fre_game_iter_20,depth_fre_game_iter_31,_runtime,resource/width_resource_usage,Win_Rate/self_play,depth_fre_game_iter_100,resource/width,entropy,resource/depth,resource/total_resource_usage,resource/depth_ratio,resource/depth_resource_usage,_step,resource/remain_resource_ratio,_timestamp,depth_fre_game_iter_10,resource/remain_resource,loss,Win_Rate/Evaluate,depth_fre_game_iter_1,depth_fre_game_iter_50,resource/width_ratio,resource/total_planning_depth
62,,,1677.907379904,138753.0,,,1782.0,,81.0,145233.0,0.044617651514108264,6480.0,185467.0,0.0038888888888888888,1736277703.5329762,,567.0,,,,,0.9553754630458433,80.0
63,,,1683.450071235,140292.0,,,2187.0,,81.0,145395.0,0.035097251643786624,5103.0,185515.0,0.002777777777777778,1736277709.0756693,,405.0,,,,,0.9648958705879116,63.0
64,,,1878.448375198,140049.0,,,2025.0,,81.0,145557.0,0.037840585883290506,5508.0,186843.0,0.0016666666666666668,1736277904.073978,,243.0,,,,,0.9621525440030778,68.0
65,,,1981.69482648,136739.0,,,1296.0,,81.0,145184.0,0.05816716602954851,8445.0,187214.0,0.004224965706447188,1736278007.3203957,,616.0,,,,,0.941825946206564,765.0
66,,,2003.094039366,138591.0,,,1620.0,,81.0,145557.0,0.04785721155827918,6966.0,187307.0,0.0016666666666666668,1736278028.7196493,,243.0,,,,,0.9521359183280892,86.0
67,,,2355.477782828,140778.0,,,2754.0,,81.0,144828.0,0.02796401273225666,4050.0,189779.0,0.006666666666666667,1736278381.1033516,,972.0,,,,,0.9720290825732415,50.0
68,,,2485.483700788,139320.0,,,2673.0,,81.0,143451.0,0.028797088921729917,4131.0,190630.0,0.01611111111111111,1736278511.109306,,2349.0,,,,,0.9711959401054011,51.0
69,,,2920.517794524,,,,,,,,,,194927.0,,1736278946.143459,1.0,,,,,,,
70,,,2929.894015312,,,,,,,,,,201243.0,,1736278955.51972,1.0,,,,,,,
71,,,2936.545329002,,,,,,,,,,206178.0,,1736278962.1710334,1.0,,,,,,,
72,,,2938.280822268,,,,,,,,,,207525.0,,1736278963.9065292,1.0,,,,,,,
73,,,2940.240838989,,,,,,,,,,208953.0,,1736278965.866562,2.0,,,,,,,
74,,,2941.870411625,,,,,,,,,,210234.0,,1736278967.4961069,1.0,,,,,,,
75,,,2942.091590517,,,,,,,,,,210401.0,,1736278967.7172847,1.0,,,,,,,
76,,,2945.770791094,,,,,,,,,,212971.0,,1736278971.3964944,1.0,,,,,,,
77,,,2949.694387428,,,,,,,,,,215706.0,,1736278975.320096,1.0,,,,,,,
78,,,2952.393077371,,,,,,,,,,217757.0,,1736278978.0187974,2.0,,,,,,,
79,,,2954.260119691,,,,,,,,,,218986.0,,1736278979.8858197,1.0,,,,,,,
80,,,2960.102568706,,,,,,,,,,223101.0,,1736278985.7282257,1.0,,,,,,,
81,,,2962.566384527,,,,,,,,,,224830.0,,1736278988.1920784,1.0,,,,,,,
82,,,2964.09103665,,,,,,,,,,225829.0,,1736278989.7167296,1.0,,,,,,,
83,,,2964.961440422,,,,,,,,,,226480.0,,1736278990.5870993,1.0,,,,,,,
84,,,2974.877422237,,,,,,,,,,233235.0,,1736279000.5030906,1.0,,,,,,,
85,,,2984.901887666,,,,,,,,,,237961.0,,1736279010.5275373,1.0,,,,,,,
86,,,2999.204070807,,,,,,,,,,245172.0,,1736279024.8297353,1.0,,,,,,,
87,,,3011.194548465,,,,,,,,,,250860.0,,1736279036.8202112,1.0,,,,,,,
88,,,3019.64597916,,,,,,,,,,254873.0,,1736279045.2716289,1.0,,,,,,,
