,_runtime,resource/width_resource_usage,resource/depth,Win_Rate/Evaluate,Win_Rate/self_play,resource/total_resource_usage,loss,resource/depth_resource_usage,entropy,_step,resource/depth_ratio,planning_depth/game_iter_1,_timestamp,planning_depth/game_iter_20,planning_depth/game_iter_10,resource/width_ratio,planning_depth/game_iter_100,resource/total_planning_depth,resource/width,planning_depth/game_iter_31,planning_depth/game_iter_50
57,1465.1588668823242,,,,,,,,,437003.0,,3.0,1736285002.948926,,,,,,,,
58,1486.5338025093079,,,,,,,,,444190.0,,2.0,1736285024.3238616,,,,,,,,
59,1514.8537611961365,,,,,,,,,452191.0,,3.0,1736285052.6438203,,,,,,,,
60,1533.8543832302094,,,,,,,,,458075.0,,2.0,1736285071.6444423,,,,,,,,
61,1537.8269340991974,,,,,,,,,459302.0,,3.0,1736285075.6169932,,,,,,,,
62,1595.6665642261505,,,,,,,,,476952.0,,3.0,1736285133.4566233,,,,,,,,
63,1600.2734220027924,,,,,,,,,478309.0,,3.0,1736285138.063481,,,,,,,,
64,1610.6476542949677,,,,,,,,,481453.0,,3.0,1736285148.4377134,,,,,,,,
65,1629.2544026374817,,,,,,,,,487205.0,,3.0,1736285167.0444617,,,,,,,,
66,1689.0827896595001,,,,,,,,,505556.0,,3.0,1736285226.8728487,,,,,,,,
67,1691.0320329666138,,,,,,,,,506292.0,,3.0,1736285228.822092,,,,,,,,
68,1701.5595498085022,,,,,,,,,509433.0,,3.0,1736285239.349609,,,,,,,,
69,1722.9172885417938,,,,,,,,,516099.0,,2.0,1736285260.7073476,,,,,,,,
70,1726.9460916519165,,,,,,,,,517303.0,,3.0,1736285264.7361507,,,,,,,,
71,1735.370598077774,,,,,,,,,519800.0,,2.0,1736285273.1606572,,,,,,,,
72,1762.8680353164673,,,,,,,,,528562.0,,3.0,1736285300.6580944,,,,,,,,
73,1766.1569447517395,,,,,,,,,529577.0,,3.0,1736285303.9470038,,,,,,,,
74,1781.8831367492676,,,,,,,,,534442.0,,3.0,1736285319.6731958,,,,,,,,
75,1782.2351355552673,,,,,,,,,534502.0,,3.0,1736285320.0251946,,,,,,,,
76,1804.1481111049652,,,,,,,,,541305.0,,3.0,1736285341.9381702,,,,,,,,
77,1811.17258644104,,,,,,,,,543357.0,,3.0,1736285348.9626455,,,,,,,,
78,1826.131017446518,941058.0,81.0,,,973458.0,,32400.0,,547924.0,0.03328340822100183,,1736285363.9210765,,,0.9667165917789982,,400.0,2349.0,,
79,1864.473848581314,,,,,,,,,560065.0,,3.0,1736285402.2639077,,,,,,,,
80,1870.897784948349,,,,,,,,,562098.0,,3.0,1736285408.687844,,,,,,,,
81,1875.3114759922028,,,,,,,,,563400.0,,3.0,1736285413.101535,,,,,,,,
82,1883.386745929718,,,,,,,,,565831.0,,3.0,1736285421.176805,,,,,,,,
83,1886.660983800888,,,,,,,,,566831.0,,3.0,1736285424.451043,,,,,,,,
84,1893.4440095424652,,,,,,,,,569051.0,,2.0,1736285431.2340686,,,,,,,,
85,1916.7422924041748,,,,,,,,,576371.0,,3.0,1736285454.5323515,,,,,,,,
86,1963.5189311504364,,,,,,,,,590887.0,,3.0,1736285501.3089902,,,,,,,,
87,1977.2009706497192,,,,,,,,,595148.0,,3.0,1736285514.9910297,,,,,,,,
88,1986.195244550705,,,,,,,,,597851.0,,3.0,1736285523.9853036,,,,,,,,
89,2002.9122779369354,,,,,,,,,603084.0,,3.0,1736285540.702337,,,,,,,,
90,2030.1780891418457,,,,,,,,,611383.0,,3.0,1736285567.9681482,,,,,,,,
91,2059.7546679973602,,,,,,,,,620201.0,,3.0,1736285597.544727,,,,,,,,
92,2143.2824490070343,,,,,,,,,645205.0,,3.0,1736285681.072508,,,,,,,,
93,2165.6067929267883,,,,,,,,,652066.0,,3.0,1736285703.396852,,,,,,,,
94,2288.5306293964386,,,,,,,,,691742.0,,3.0,1736285826.3206885,,,,,,,,
95,2306.93296957016,,,,,,,,,698035.0,,3.0,1736285844.7230287,,,,,,,,
96,2311.8754065036774,,,,,,,,,699706.0,,3.0,1736285849.6654656,,,,,,,,
97,2316.0887792110443,,,,,,,,,701052.0,,3.0,1736285853.8788383,,,,,,,,
98,2322.5772445201874,,,,,,,,,703194.0,,3.0,1736285860.3673036,,,,,,,,
99,8513.355283021927,777114.0,81.0,,,809514.0,,32400.0,,717566.0,0.040024014408645184,,1736292051.145342,,,0.9599759855913548,,400.0,1863.0,,
100,17029.212624788284,,,,,778329.0,,,,734287.0,,,1736300567.0026839,,,,,,,,
101,19701.756818532944,,,,,,,,,741655.0,,,1736303239.5468776,,3.0,,,,,,
102,19724.37020945549,,,,,,,,,750216.0,,,1736303262.1602685,,3.0,,,,,,
103,19727.80725002289,,,,,,,,,751504.0,,,1736303265.597309,,3.0,,,,,,
104,19737.467524290085,,,,,,,,,755126.0,,,1736303275.2575834,,3.0,,,,,,
105,19741.32297182083,,,,,,,,,756517.0,,,1736303279.113031,,3.0,,,,,,
106,19782.37641763687,,,,,,,,,771789.0,,,1736303320.1664767,,3.0,,,,,,
107,19816.047194719315,,,,,,,,,784547.0,,,1736303353.8372538,,3.0,,,,,,
108,19823.02379131317,,,,,,,,,787200.0,,,1736303360.8138504,,3.0,,,,,,
109,19831.731553316116,,,,,,,,,790489.0,,,1736303369.5216124,,3.0,,,,,,
110,19834.30374979973,,,,,,,,,791430.0,,,1736303372.093809,,3.0,,,,,,
111,19863.21116566658,,,,,,,,,802369.0,,,1736303401.0012248,,2.0,,,,,,
112,19881.4912443161,,,,,,,,,809444.0,,,1736303419.2813034,,3.0,,,,,,
113,19882.25249147415,,,,,,,,,809753.0,,,1736303420.0425506,,3.0,,,,,,
114,19936.713335752487,,,,,,,,,829880.0,,,1736303474.5033948,,3.0,,,,,,
115,19944.635890722275,,,,,,,,,832858.0,,,1736303482.4259498,,3.0,,,,,,
116,19955.22593355179,,,,,,,,,836496.0,,,1736303493.0159926,,3.0,,,,,,
117,20005.461592674255,,,,,,,,,854555.0,,,1736303543.2516518,,3.0,,,,,,
118,20009.356381893158,,,,,,,,,855970.0,,,1736303547.146441,,4.0,,,,,,
119,20061.7172665596,,,,,,,,,874514.0,,,1736303599.5073256,,4.0,,,,,,
120,20086.77968454361,,,,,,,,,883356.0,,,1736303624.5697436,,3.0,,,,,,
121,20176.543640375137,,,,,,,,,915276.0,,,1736303714.3336995,,4.0,,,,,,
122,20177.33493423462,,,,,,,,,915529.0,,,1736303715.1249933,,3.0,,,,,,
123,20179.857105255127,,,,,,,,,916431.0,,,1736303717.6471643,,4.0,,,,,,
124,20182.945011615753,,,,,,,,,917637.0,,,1736303720.7350707,,3.0,,,,,,
125,20199.6262819767,,,,,,,,,923515.0,,,1736303737.416341,,3.0,,,,,,
126,20208.69002223015,,,,,,,,,926694.0,,,1736303746.4800813,,3.0,,,,,,
127,20215.861780643463,,,,,,,,,929294.0,,,1736303753.6518397,,2.0,,,,,,
128,20295.50943350792,,,,,,,,,957550.0,,,1736303833.2994926,,2.0,,,,,,
129,20330.110872745514,,,,,,,,,969761.0,,,1736303867.9009318,,3.0,,,,,,
130,20370.813583135605,,,,,,,,,984147.0,,,1736303908.6036422,,3.0,,,,,,
131,20378.96021771431,,,,,,,,,986885.0,,,1736303916.7502768,,2.0,,,,,,
132,20382.035776615143,,,,,,,,,987973.0,,,1736303919.8258357,,3.0,,,,,,
133,20401.433578252792,,,,,,,,,994689.0,,,1736303939.2236373,,3.0,,,,,,
134,20403.490176677704,,,,,,,,,995617.0,,,1736303941.2802358,,2.0,,,,,,
135,20413.18421983719,,,,,,,,,998951.0,,,1736303950.974279,,2.0,,,,,,
136,20417.702852249146,,,,,,,,,1000519.0,,,1736303955.4929113,,3.0,,,,,,
137,20483.24737715721,,,,,,,,,1022986.0,,,1736304021.0374362,,3.0,,,,,,
138,20491.312977552414,,,,,,,,,1025728.0,,,1736304029.1030366,,3.0,,,,,,
139,20536.701627731323,,,,,1137078.0,,,,1041551.0,,,1736304074.4916868,,,,,,,,
140,20628.154837608337,,,,,,,,,1072916.0,,,1736304165.9448967,,2.0,,,,,,
141,20640.534867048264,,,,,,,,,1077043.0,,,1736304178.3249261,,3.0,,,,,,
142,20674.678520202637,,,,,,,,,1088911.0,,,1736304212.4685793,,3.0,,,,,,
143,20707.823550462723,,,,,,,,,1100418.0,,,1736304245.6136096,,3.0,,,,,,
144,20723.926228761673,,,,,,,,,1105896.0,,,1736304261.7162879,,2.0,,,,,,
145,20753.894732236862,,,,,,,,,1116063.0,,,1736304291.6847913,,4.0,,,,,,
146,20756.011241674423,,,,,,,,,1116848.0,,,1736304293.8013008,,2.0,,,,,,
147,20763.05198788643,,,,,,,,,1119245.0,,,1736304300.842047,,3.0,,,,,,
148,20764.370237112045,,,,,,,,,1119664.0,,,1736304302.1602962,,3.0,,,,,,
149,20801.166569709778,,,,,,,,,1132365.0,,,1736304338.9566288,,3.0,,,,,,
150,20801.476232290268,,,,,,,,,1132479.0,,,1736304339.2662914,,3.0,,,,,,
151,20816.831662654877,,,,,,,,,1137779.0,,,1736304354.6217217,,2.0,,,,,,
152,20851.143404960632,,,,,,,,,1149746.0,,,1736304388.933464,,3.0,,,,,,
153,20875.73396873474,,,,,,,,,1158219.0,,,1736304413.5240278,,3.0,,,,,,
154,20879.766119241714,,,,,,,,,1159595.0,,,1736304417.5561783,,3.0,,,,,,
155,20885.77391386032,,,,,,,,,1161767.0,,,1736304423.563973,,2.0,,,,,,
156,20948.405153989792,,,,,,,,,1183362.0,,,1736304486.195213,,3.0,,,,,,
157,20967.80299592018,,,,,,,,,1190002.0,,,1736304505.593055,,3.0,,,,,,
158,21002.07993745804,,,,,,,,,1201889.0,,,1736304539.8699965,,3.0,,,,,,
159,21021.285691976547,,,,,,,,,1208635.0,,,1736304559.075751,,3.0,,,,,,
160,21036.031886816025,,,,,,,,,1213662.0,,,1736304573.821946,,3.0,,,,,,
161,21039.719985485077,,,,,,,,,1215039.0,,,1736304577.5100446,,3.0,,,,,,
162,21062.70722937584,,,,,,,,,1222948.0,,,1736304600.4972885,,3.0,,,,,,
163,21065.216155529022,,,,,,,,,1223778.0,,,1736304603.0062146,,3.0,,,,,,
164,21066.338775634766,,,,,,,,,1224132.0,,,1736304604.1288347,,3.0,,,,,,
165,21096.168998003006,,,,,,,,,1234544.0,,,1736304633.959057,,2.0,,,,,,
166,21098.191296339035,,,,,,,,,1235204.0,,,1736304635.9813554,,3.0,,,,,,
167,21135.145972967148,,,,,,,,,1247925.0,,,1736304672.936032,,3.0,,,,,,
168,21168.829981803894,,,,,,,,,1259487.0,,,1736304706.620041,,3.0,,,,,,
169,21184.610377550125,,,,,,,,,1264778.0,,,1736304722.4004366,,3.0,,,,,,
170,21188.774035215378,,,,,,,,,1266464.0,,,1736304726.5640943,,3.0,,,,,,
171,21261.204016923904,,,,,,,,,1291299.0,,,1736304798.994076,,3.0,,,,,,
172,21261.61301779747,,,,,,,,,1291446.0,,,1736304799.403077,,3.0,,,,,,
173,21272.607964992523,,,,,,,,,1295221.0,,,1736304810.398024,,2.0,,,,,,
174,21275.5934946537,,,,,,,,,1296280.0,,,1736304813.3835537,,2.0,,,,,,
175,21280.633849143982,,,,,,,,,1297991.0,,,1736304818.4239082,,3.0,,,,,,
176,21298.220405340195,,,,,,,,,1304306.0,,,1736304836.0104644,,3.0,,,,,,
177,21349.512048721313,,,,,,,,,1322119.0,,,1736304887.3021078,,3.0,,,,,,
178,21356.43869948387,,,,,,,,,1324630.0,,,1736304894.2287586,,3.0,,,,,,
179,21365.614090442657,,,,,,,,,1327693.0,,,1736304903.4041495,,3.0,,,,,,
180,21436.91835474968,,,,,,,,,1352470.0,,,1736304974.7084138,,3.0,,,,,,
181,21456.96055483818,,,,,,,,,1359324.0,,,1736304994.750614,,3.0,,,,,,
182,21496.839354515076,,,,,,,,,1372986.0,,,1736305034.6294136,,3.0,,,,,,
183,21525.588301181793,,,,,,,,,1382862.0,,,1736305063.3783603,,2.0,,,,,,
184,26231.10790681839,,,,,908820.0,,,,1401483.0,,,1736309768.897966,,,,,,,,
185,27768.966035604477,769743.0,81.0,,,802143.0,,32400.0,,1404001.0,0.0403918004645057,,1736311306.7560947,,,0.9596081995354943,,400.0,1944.0,,
186,29868.250719070435,784647.0,81.0,,,817047.0,,32400.0,,1407582.0,0.03965500148706256,,1736313406.0407782,,,0.9603449985129374,,400.0,1863.0,,
187,31005.985476732254,,,,,844344.0,,,,1409529.0,,,1736314543.7755358,,,,,,,,
