,resource/depth_ratio,resource/depth,resource/width_ratio,Win_Rate/Evaluate,_step,loss,resource/width,planning_depth/game_iter_1,planning_depth/game_iter_100,planning_depth/game_iter_50,resource/depth_resource_usage,resource/total_planning_depth,resource/total_resource_usage,planning_depth/game_iter_20,_runtime,planning_depth/game_iter_10,resource/width_resource_usage,entropy,_timestamp,Win_Rate/self_play,planning_depth/game_iter_31
68,0.03261578604044357,27.0,0.9673842139595564,,117271,,783.0,,,,1350.0,50.0,41391.0,,1764.593463654,,40041.0,,1736074311.8811893,,
69,,,,,117468,,,,,,,,23085.0,,1774.637426644,,,,1736074321.925215,,
70,,,,,119111,,,,,,,,,,1828.000406958,2.0,,,1736074375.2882137,,
71,0.03156565656565657,27.0,0.9684343434343434,,119468,,810.0,,,,1350.0,50.0,42768.0,,1828.690876368,,41418.0,,1736074375.97864,,
72,,,,,119542,,,,,,,,,,1828.832359084,2.0,,,1736074376.120171,,
73,,,,,119580,,,,,,,,,,1828.909760776,2.0,,,1736074376.197567,,
74,,,,,120161,,,,,,,,,,1830.028698211,2.0,,,1736074377.3165073,,
75,0.03494060097833683,27.0,0.9650593990216632,,122536,,729.0,,,,1350.0,50.0,38637.0,,1834.978482994,,37287.0,,1736074382.2662709,,
76,,,,,123328,,,,,,,,,,1836.555265272,2.0,,,1736074383.8430731,,
77,,,,,131165,,,,,,,,,,1852.524027294,3.0,,,1736074399.81184,,
78,,,,,136763,,,,,,,,,,1863.950805871,2.0,,,1736074411.2386174,,
79,,,,,141080,,,,,,,,,,1872.795523949,3.0,,,1736074420.0833375,,
80,,,,,142150,,,,,,,,,,1874.989535416,2.0,,,1736074422.2773557,,
81,,,,,144772,,,,,,,,,,1880.337541312,3.0,,,1736074427.6253436,,
82,,,,,145272,,,,,,,,,,1881.343935681,2.0,,,1736074428.631746,,
83,,,,,146730,,,,,,,,,,1884.318639814,2.0,,,1736074431.6064544,,
84,,,,,147797,,,,,,,,,,1886.533738554,3.0,,,1736074433.8215432,,
85,,,,,151365,,,,,,,,,,1893.765379508,2.0,,,1736074441.0531929,,
86,,,,,155427,,,,,,,,,,1902.300104657,2.0,,,1736074449.587915,,
87,,,,,155557,,,,,,,,46899.0,,1902.556388909,,,,1736074449.8442159,,
