,depth_fre/game_iter_10,depth_fre/game_iter_100,resource/depth_ratio,resource/width,loss,Win_Rate/Evaluate,depth_fre/game_iter_20,_step,Win_Rate/self_play,resource/width_resource_usage,resource/depth,_runtime,entropy,resource/total_resource_usage,depth_fre/game_iter_31,resource/remain_resource,_timestamp,resource/remain_resource_ratio,resource/depth_resource_usage,depth_fre/game_iter_1,resource/width_ratio,depth_fre/game_iter_50
0,,,,,,,,5269.0,,,,10.690219603,,,,,1736275788.2755225,,,3.0,,
1,,,,,,,,18984.0,,,,32.856544014,,,,,1736275810.441829,,,3.0,,
2,,,,,,,,24995.0,,,,44.23281989,,,,,1736275821.8181353,,,2.0,,
3,,,,,,,,40873.0,,,,74.003311837,,,,,1736275851.588605,,,3.0,,
4,,,,,,,,42371.0,,,,76.61006338,,,,,1736275854.1953793,,,3.0,,
5,,,,,,,,81313.0,,,,161.934705288,,,,,1736275939.5199964,,,6.0,,
6,,,,,,,,90758.0,,,,179.054132813,,,,,1736275956.6394238,,,3.0,,
7,,,,,,,,94577.0,,,,187.001071161,,,,,1736275964.5863836,,,2.0,,
8,,,,,,,,97919.0,,,,192.115946564,,,,,1736275969.7012563,,,3.0,,
9,,,,,,,,104311.0,,,,203.051849727,,,,,1736275980.6371615,,,2.0,,
10,,,,,,,,112424.0,,,,216.382508218,,,,,1736275993.96782,,,3.0,,
11,,,,,,,,113581.0,,,,218.463651697,,,,,1736275996.0489087,,,3.0,,
12,,,,,,,,117869.0,,,,226.573227085,,,,,1736276004.158505,,,4.0,,
13,,,,,,,,151036.0,,,,305.829204469,,,,,1736276083.4144764,,,3.0,,
14,,,,,,,,156226.0,,,,315.785341048,,,,,1736276093.2897232,,,3.0,,
15,,,,,,,,173387.0,,,,347.38896317,,,,,1736276124.9742725,,,5.0,,
16,,,,,,,,182335.0,,,,362.85571585,,,,,1736276140.4409943,,,3.0,,
17,,,,,,,,195193.0,,,,385.12567908,,,,,1736276162.7109919,,,4.0,,
18,,,,,,,,199695.0,,,,392.018491722,,,,,1736276169.6038015,,,3.0,,
19,,,,,,,,212460.0,,,,414.137226455,,,,,1736276191.7225368,,,3.0,,
20,,,,,,,,216688.0,,,,422.275841597,,,,,1736276199.8611522,,,3.0,,
21,,,,,,,,226755.0,,,,438.216355836,,,,,1736276215.8016584,,,3.0,,
22,,,,,,,,227186.0,,,,438.95232067,,,,,1736276216.537634,,,3.0,,
23,,,,,,,,246009.0,,,,471.845876861,,,,,1736276249.4311788,,,3.0,,
24,,,,,,,,248899.0,,,,477.649428498,,,,,1736276255.2347403,,,4.0,,
25,,,,,,,,261004.0,,,,498.136743223,,,,,1736276275.7220554,,,3.0,,
26,,,,,,,,279785.0,,,,543.302922072,,,,,1736276309.5327618,,,2.0,,
27,,,,,,,,285213.0,,,,543.368457263,,,,,1736276319.2087896,,,2.0,,
28,,,,,,,,304135.0,,,,574.818103345,,,,,1736276352.4034162,,,5.0,,
29,,,,,,,,306661.0,,,,579.636356619,,,,,1736276357.2216697,,,3.0,,
30,,,,,,,,307885.0,,,,581.716426013,,,,,1736276359.3017395,,,3.0,,
31,,,,,,,,312854.0,,,,589.541574024,,,,,1736276367.126884,,,3.0,,
32,,,,,,,,313796.0,,,,591.077154836,,,,,1736276368.662431,,,3.0,,
33,,,,,,,,319127.0,,,,600.737131923,,,,,1736276378.2755446,,,3.0,,
34,,,,,,,,321169.0,,,,603.989761192,,,,,1736276381.5750732,,,3.0,,
35,,,,,,,,338422.0,,,,635.97968765,,,,,1736276413.5649836,,,2.0,,
36,,,,,,,,340224.0,,,,638.881458388,,,,,1736276416.466752,,,3.0,,
37,,,,,,,,360158.0,,,,680.375557932,,,,,1736276457.960823,,,4.0,,
38,,,,,,,,361580.0,,,,684.072476393,,,,,1736276461.6577864,,,5.0,,
39,,,,,,,,371503.0,,,,708.114908913,,,,,1736276485.7001944,,,3.0,,
40,,,,,,,,384467.0,,,,735.772151142,,,,,1736276513.1952784,,,3.0,,
41,,,,,,,,402090.0,,,,766.701859984,,,,,1736276544.2871716,,,5.0,,
42,,,,,,,,404482.0,,,,771.631897937,,,,,1736276549.2171702,,,6.0,,
43,,,,,,,,409593.0,,,,781.753111462,,,,,1736276559.3384194,,,3.0,,
44,,,,,,,,410227.0,,,,782.740517151,,,,,1736276560.3258271,,,3.0,,
45,,,,,,,,415582.0,,,,792.145011841,,,,,1736276569.730321,,,3.0,,
46,,,,,,,,416488.0,,,,793.659497937,,,,,1736276571.2448075,,,3.0,,
47,,,,,,,,422349.0,,,,805.379505513,,,,,1736276582.9648154,,,5.0,,
48,,,,,,,,423627.0,,,,807.401165837,,,,,1736276584.9864697,,,4.0,,
49,,,,,,,,424539.0,,,,809.398790343,,,,,1736276586.9840662,,,3.0,,
50,,,,,,,,425723.0,,,,811.081605046,,,,,1736276588.6669104,,,3.0,,
51,,,,,,,,431941.0,,,,821.702059185,,,,,1736276599.2873588,,,3.0,,
52,,,,,,,,434289.0,,,,825.962508562,,,,,1736276603.5478208,,,3.0,,
53,,,,,,,,449941.0,,,,855.116434616,,,,,1736276632.7017336,,,3.0,,
54,,,,,,,,455328.0,,,,864.958563305,,,,,1736276642.5438695,,,3.0,,
55,,,,,,,,458270.0,,,,869.952835649,,,,,1736276647.5381088,,,3.0,,
56,,,,,,,,477274.0,,,,904.374599646,,,,,1736276681.9599059,,,3.0,,
57,,,,,,,,480714.0,,,,910.50522427,,,,,1736276688.0905247,,,3.0,,
58,,,,,,,,481203.0,,,,911.326603786,,,,,1736276688.9118845,,,3.0,,
59,,,,,,,,488204.0,,,,924.098418387,,,,,1736276701.683733,,,3.0,,
60,,,,,,,,492456.0,,,,931.533314021,,,,,1736276709.1186206,,,3.0,,
61,,,,,,,,514418.0,,,,988.58972821,,,,,1736276766.1749892,,,3.0,,
62,,,,,,,,514683.0,,,,989.523719933,,,,,1736276767.1089845,,,3.0,,
63,,,,,,,,525726.0,,,,1029.313340684,,,,,1736276806.8986237,,,3.0,,
64,,,,,,,,526982.0,,,,1034.057104363,,,,,1736276811.6423597,,,3.0,,
65,,,,,,,,530791.0,,,,1048.174372879,,,,,1736276825.7596653,,,3.0,,
66,,,,,,,,532815.0,,,,1055.68068712,,,,,1736276833.2659647,,,3.0,,
67,,,,,,,,559783.0,,,,1138.282634802,,,,,1736276915.8679137,,,3.0,,
68,,,,,,,,570374.0,,,,1159.05365684,,,,,1736276936.63895,,,3.0,,
69,,,,,,,,576169.0,,,,1168.585318626,,,,,1736276946.1706202,,,3.0,,
70,,,,,,,,582467.0,,,,1179.012375211,,,,,1736276956.5976899,,,2.0,,
71,,,,,,,,592079.0,,,,1196.832587329,,,,,1736276974.4178984,,,4.0,,
72,,,,,,,,600453.0,,,,1211.242959175,,,,,1736276988.828269,,,3.0,,
73,,,,,,,,626564.0,,,,1258.939883599,,,,,1736277036.5251937,,,3.0,,
74,,,,,,,,631036.0,,,,1267.336930199,,,,,1736277044.9222312,,,3.0,,
75,,,,,,,,637191.0,,,,1277.34488916,,,,,1736277054.930183,,,3.0,,
76,,,,,,,,655487.0,,,,1307.52904898,,,,,1736277085.1143591,,,3.0,,
77,,,,,,,,678841.0,,,,1349.267008474,,,,,1736277126.8522854,,,3.0,,
78,,,,,,,,683086.0,,,,1355.380569651,,,,,1736277132.9658754,,,3.0,,
79,,,,,,,,688733.0,,,,1364.406957852,,,,,1736277141.9922745,,,3.0,,
80,,,,,,,,694557.0,,,,1373.96148719,,,,,1736277151.5467896,,,3.0,,
81,,,,,,,,704288.0,,,,1390.649567735,,,,,1736277168.2348244,,,3.0,,
82,,,,,,,,709717.0,,,,1401.195740062,,,,,1736277178.781047,,,2.0,,
83,,,,,,,,713265.0,,,,1408.459389896,,,,,1736277186.0447018,,,3.0,,
84,,,,,,,,728645.0,,,,1436.624729676,,,,,1736277214.2100384,,,3.0,,
85,,,,,,,,728695.0,,,,1436.709359486,,,,,1736277214.294672,,,3.0,,
86,,,,,,,,747877.0,,,,1471.52620451,,,,,1736277249.1114762,,,2.0,,
87,,,,,,,,751703.0,,,,1477.464705711,,,,,1736277255.049986,,,3.0,,
88,,,,,,,,764746.0,,,,1501.822641583,,,,,1736277279.407904,,,5.0,,
89,,,,,,,,767210.0,,,,1507.868531261,,,,,1736277285.4538276,,,4.0,,
90,,,,,,,,770560.0,,,,1513.334178981,,,,,1736277290.9194825,,,3.0,,
91,,,,,,,,786367.0,,,,1544.398033816,,,,,1736277321.9833167,,,3.0,,
92,,,,,,,,791729.0,,,,1554.397468452,,,,,1736277331.9827778,,,2.0,,
93,,,,,,,,818931.0,,,,1611.35503695,,,,,1736277388.940325,,,5.0,,
94,,,,,,,,836246.0,,,,1642.145595832,,,,,1736277419.7309015,,,3.0,,
95,,,,,,,,837560.0,,,,1644.269703388,,,,,1736277421.8549793,,,3.0,,
96,,,,,,,,848071.0,,,,1663.530213617,,,,,1736277441.1154861,,,5.0,,
97,,,,,,,,857512.0,,,,1680.015026873,,,,,1736277457.6003373,,,3.0,,
98,,,,,,,,870025.0,,,,1703.872222653,,,,,1736277481.457497,,,3.0,,
99,,,,,,,,906734.0,,,,1766.636716194,,,,,1736277544.2219925,,,3.0,,
100,,,,,,,,919275.0,,,,1788.443564287,,,,,1736277566.0288775,,,2.0,,
101,,,,,,,,923267.0,,,,1795.18325441,,,,,1736277572.7685041,,,3.0,,
102,,,,,,,,927821.0,,,,1805.453133755,,,,,1736277583.038443,,,3.0,,
103,,,,,,,,955179.0,,,,1856.437252764,,,,,1736277634.0225203,,,3.0,,
104,,,,,,,,971897.0,,,,1885.574689596,,,,,1736277663.1599834,,,3.0,,
