,Win_Rate/self_play,depth_fre/game_iter_50,resource/width,resource/width_ratio,_step,resource/total_resource_usage,_timestamp,entropy,depth_fre/game_iter_10,resource/remain_resource,resource/depth,depth_fre/game_iter_31,resource/remain_resource_ratio,resource/depth_resource_usage,Win_Rate/Evaluate,resource/depth_ratio,depth_fre/game_iter_1,depth_fre/game_iter_20,resource/width_resource_usage,depth_fre/game_iter_100,_runtime,loss
57,,,2268.0,0.9658995815899581,40716,4779.0,1736276904.9298422,,,1053.0,81.0,,0.18055555555555555,162.0,,0.033891213389121336,,,4617.0,,213.67458820343018,
58,,,2106.0,0.9634201077199281,41537,4455.0,1736276909.9099746,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,218.65472054481506,
59,,,1701.0,0.9550478997789241,41700,5427.0,1736276910.9899747,,,405.0,81.0,,0.06944444444444445,243.0,,0.04476787030213707,,,5184.0,,219.7347207069397,
60,,,1782.0,0.9569740786457415,42575,5670.0,1736276917.2309756,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,225.9757215976715,
61,,,1215.0,0.9382833270034181,42719,5265.0,1736276918.2059748,,,567.0,81.0,,0.09722222222222222,324.0,,0.06152677554120775,,,4941.0,,226.95072078704834,
62,,,1377.0,0.9452423698384201,42876,4455.0,1736276919.2009757,,,1377.0,81.0,,0.2361111111111111,243.0,,0.05453321364452424,,,4212.0,,227.94572162628174,
63,,,1458.0,0.9480740583102788,44048,4698.0,1736276927.386223,,,1134.0,81.0,,0.19444444444444445,243.0,,0.05171313045328793,,,4455.0,,236.1309690475464,
64,,,2106.0,0.9634201077199281,44929,4455.0,1736276933.7928662,,,1377.0,81.0,,0.2361111111111111,162.0,,0.036355475763016155,,,4293.0,,242.53761219978333,
65,,,1782.0,0.9569740786457415,45912,5670.0,1736276941.0875194,,,162.0,81.0,,0.027777777777777776,243.0,,0.04284958561100335,,,5427.0,,249.83226537704468,
66,,,2511.0,0.969046714774022,46230,5265.0,1736276943.2471924,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,251.99193835258484,
67,,,1296.0,0.9418604651162791,46737,5589.0,1736276946.9074945,,,243.0,81.0,,0.041666666666666664,324.0,,0.057960644007155636,,,5265.0,,255.65224051475525,
68,,,2511.0,0.969046714774022,47094,5265.0,1736276949.2434945,,,567.0,81.0,,0.09722222222222222,162.0,,0.030763387770603876,,,5103.0,,257.988240480423,
