,planning_depth/game_iter_1,resource/width_resource_usage,planning_depth/game_iter_10,_runtime,resource/depth_resource_usage,resource/total_planning_depth,resource/width_ratio,planning_depth/game_iter_31,entropy,resource/width,Win_Rate/self_play,resource/depth,loss,_step,resource/depth_ratio,planning_depth/game_iter_50,Win_Rate/Evaluate,resource/total_resource_usage,_timestamp,planning_depth/game_iter_20,planning_depth/game_iter_100
68,,,,1513.988178367,,,,,,,,,,177425.0,,,,253854.0,1736096272.5560446,,
69,,253854.0,,1515.708343037,8100.0,100.0,0.969078540507112,,,2511.0,,81.0,,177440.0,0.030921459492888066,,,261954.0,1736096274.2761154,,
70,,,,1705.026004147,,,,,,,,,,179213.0,,,,270216.0,1736096463.5938416,,
71,,221211.0,,1766.259137942,8100.0,100.0,0.9646767926527728,,,2187.0,,81.0,,179778.0,0.03532320734722713,,,229311.0,1736096524.826926,,
72,,,,2373.144818126,,,,,,,,,,185455.0,,,,227124.0,1736097131.7126567,,
73,,270297.0,,2654.104176739,8100.0,100.0,0.9709048588885656,,,2673.0,,81.0,,188049.0,0.02909514111143439,,,278397.0,1736097412.6719496,,
74,,,,2749.449018006,,,,,,,,,,188924.0,,,,270135.0,1736097508.0168662,,
75,,,,3203.085297217,,,,,,,,,,193079.0,,,,90801.0,1736097961.6531737,,
76,,,,3697.691109548,,,,,,,,,,197664.0,,,,144180.0,1736098456.2589626,,
77,,,3.0,3876.733153376,,,,,,,,,,202386.0,,,,,1736098635.3010206,,
78,,,3.0,3885.669233972,,,,,,,,,,206511.0,,,,,1736098644.2371001,,
79,,,3.0,3893.363175478,,,,,,,,,,210000.0,,,,,1736098651.9310453,,
80,,,2.0,3898.687649441,,,,,,,,,,212441.0,,,,,1736098657.2555192,,
81,,,2.0,3898.953775972,,,,,,,,,,212574.0,,,,,1736098657.5216475,,
82,,,3.0,3902.905594758,,,,,,,,,,214367.0,,,,,1736098661.4734612,,
83,,,2.0,3915.795418989,,,,,,,,,,220177.0,,,,,1736098674.363285,,
84,,,3.0,3920.284939328,,,,,,,,,,222193.0,,,,,1736098678.8528123,,
85,,,3.0,3935.889688903,,,,,,,,,,229293.0,,,,,1736098694.4575481,,
86,,,3.0,3937.383152437,,,,,,,,,,229920.0,,,,,1736098695.9510183,,
87,,,2.0,3938.124991871,,,,,,,,,,230288.0,,,,,1736098696.692862,,
88,,,3.0,3941.860427331,,,,,,,,,,231933.0,,,,,1736098700.4282744,,
89,,,3.0,3943.941650615,,,,,,,,,,232840.0,,,,,1736098702.509504,,
90,,,2.0,3952.075173624,,,,,,,,,,236496.0,,,,,1736098710.6430485,,
91,,,3.0,3955.547897703,,,,,,,,,,238057.0,,,,,1736098714.1157618,,
92,,,3.0,3964.710314779,,,,,,,,,,242080.0,,,,,1736098723.2781818,,
93,,,2.0,3968.666133885,,,,,,,,,,243831.0,,,,,1736098727.234002,,
94,,,3.0,3970.255772737,,,,,,,,,,244602.0,,,,,1736098728.8236263,,
95,,,3.0,4008.80437587,,,,,,,,,,261891.0,,,,,1736098767.3722367,,
96,,,3.0,4020.012435443,,,,,,,,,,266921.0,,,,,1736098778.5802994,,
97,,,3.0,4022.128615591,,,,,,,,,,267866.0,,,,,1736098780.6964793,,
98,,,3.0,4022.60126113,,,,,,,,,,268087.0,,,,,1736098781.169131,,
