,planning_depth/game_iter_10,resource/total_planning_depth,_step,_runtime,loss,entropy,resource/total_resource_usage,Win_Rate/Evaluate,resource/width_resource_usage,planning_depth/game_iter_31,Win_Rate/self_play,planning_depth/game_iter_20,resource/width,planning_depth/game_iter_50,resource/depth,resource/width_ratio,planning_depth/game_iter_100,_timestamp,planning_depth/game_iter_1,resource/depth_resource_usage,resource/depth_ratio
446,,2,558384,988.9816249,,,183,,177,,,,87,,3,0.967213115,,1736065932,,6,0.032786885
447,,,558932,989.9246114,,,195,,,,,,,,,,,1736065932,,,
448,,,560886,993.299279,,,183,,,,,,,,,,,1736065936,,,
449,,2,562401,995.8587277,,,135,,129,,,,63,,3,0.955555556,,1736065938,,6,0.044444444
450,,,566811,1003.551015,,,159,,,,,,,,,,,1736065946,,,
451,,2,566902,1003.713912,,,195,,189,,,,93,,3,0.969230769,,1736065946,,6,0.030769231
452,,2,569937,1009.048117,,,135,,129,,,,63,,3,0.955555556,,1736065952,,6,0.044444444
453,,2,571111,1011.065834,,,177,,171,,,,84,,3,0.966101695,,1736065954,,6,0.033898305
454,,,572398,1013.294865,,,207,,,,,,,,,,,1736065956,,,
455,,,573248,1014.761119,,,84,,,,,,,,,,,1736065957,,,
456,,2,575774,1019.251245,,,201,,195,,,,96,,3,0.970149254,,1736065962,,6,0.029850746
457,,,577137,1021.617961,,,219,,,,,,,,,,,1736065964,,,
458,,,577461,1022.269026,,,90,,,,,,,,,,,1736065965,,,
459,,,579307,1025.555084,,,96,,,,,,,,,,,1736065968,,,
460,,,582514,1031.069433,,,189,,,,,,,,,,,1736065974,,,
461,,2,582625,1031.260894,,,42,,36,,,,18,,3,0.857142857,,1736065974,,6,0.142857143
462,,,583540,1032.852169,,,72,,,,,,,,,,,1736065975,,,
463,,2,584231,1034.058871,,,183,,177,,,,87,,3,0.967213115,,1736065977,,6,0.032786885
464,,2,585791,1036.765227,,,45,,39,,,,18,,3,0.866666667,,1736065979,,6,0.133333333
465,,2,586169,1037.507361,,,171,,165,,,,81,,3,0.964912281,,1736065980,,6,0.035087719
466,,,588487,1041.500749,,,189,,,,,,,,,,,1736065984,,,
467,,2,589520,1043.285252,,,165,,159,,,,78,,3,0.963636364,,1736065986,,6,0.036363636
468,,,589713,1043.62107,,,72,,,,,,,,,,,1736065986,,,
469,,2,590048,1044.202467,,,201,,195,,,,96,,3,0.970149254,,1736065987,,6,0.029850746
470,,,592717,1048.845726,,,132,,,,,,,,,,,1736065991,,,
471,,,593757,1050.715269,,,207,,,,,,,,,,,1736065993,,,
472,,,594021,1051.150533,,,63,,,,,,,,,,,1736065994,,,
473,,2,594774,1052.425037,,,177,,171,,,,84,,3,0.966101695,,1736065995,,6,0.033898305
474,,2,595519,1053.688884,,,105,,99,,,,48,,3,0.942857143,,1736065996,,6,0.057142857
475,,,597570,1057.266894,,,219,,,,,,,,,,,1736066000,,,
476,,2,598187,1058.349311,,,93,,87,,,,42,,3,0.935483871,,1736066001,,6,0.064516129
477,,2,600737,1062.804522,,,219,,213,,,,105,,3,0.97260274,,1736066005,,6,0.02739726
478,,2,602671,1066.231638,,,69,,63,,,,27,,3,0.913043478,,1736066009,,6,0.086956522
479,,,602780,1066.417589,,,201,,,,,,,,,,,1736066009,,,
480,,,603863,1068.2979,,,99,,,,,,,,,,,1736066011,,,
481,,,604479,1069.370055,,,207,,,,,,,,,,,1736066012,,,
482,,,606235,1072.420483,,,189,,,,,,,,,,,1736066015,,,
483,,2,608698,1076.688371,,,147,,141,,,,69,,3,0.959183673,,1736066019,,6,0.040816327
484,,,609163,1077.579015,,,108,,,,,,,,,,,1736066020,,,
485,,,610165,1079.185005,,,102,,,,,,,,,,,1736066022,,,
486,,,610706,1080.040851,,,135,,,,,,,,,,,1736066023,,,
487,,,611598,1081.539969,,,159,,,,,,,,,,,1736066024,,,
488,,2,613343,1084.547912,,,171,,165,,,,81,,3,0.964912281,,1736066027,,6,0.035087719
489,,,613438,1084.697852,,,189,,,,,,,,,,,1736066027,,,
490,,,614664,1086.702546,,,108,,,,,,,,,,,1736066029,,,
491,,2,615217,1087.594316,,,96,,90,,,,45,,3,0.9375,,1736066030,,6,0.0625
492,,2,617091,1090.646979,,,153,,147,,,,72,,3,0.960784314,,1736066033,,6,0.039215686
493,,,619190,1092.410371,,,,,,,,,,,,,1,1736066035,,,
494,,,619683,1092.819405,,,,,,,,,,,,,2,1736066035,,,
495,,,622327,1095.153027,,,,,,,,,,,,,2,1736066038,,,
496,,,625197,1097.550531,,,183,,,,,,,,,,,1736066040,,,
497,,,626682,1098.790352,,,,,,,,,,,,,1,1736066041,,,
498,,,626743,1098.841715,,,,,,,,,,,,,2,1736066041,,,
499,,,627127,1099.158294,,,,,,,,,,,,,2,1736066042,,,
