Player Name,Elo Rating
EQRDQN_resource5913_eps0.4,1117.5
EQRDQN_resource26325_eps0.4,1294.7
EQRDQN_resource137376_eps0.4,1636.4
EQRDQN_resource271512_eps0.4,1580.9
EQRDQN_resource1066365_eps0.4,1830.4
EQRDQN_resource5913_eps0.7,1408.4
EQRDQN_resource26325_eps0.7,1596.3
EQRDQN_resource139239_eps0.7,1455
EQRDQN_resource278073_eps0.7,1581.3
EQRDQN_resource1065717_eps0.7,1713.4
EQRQAC_resource5913,1476.9
EQRQAC_resource29231,1636.1
EQRQAC_resource144828,1878.5
EQRQAC_resource286578,2048.9
EQRQAC_resource1137078,1983.1
